2019,ACT,Accent,ACC 24353,4015023243538,George Frideric Handel ,Handel: The Recorder Sonatas,Stefan Temmingh; Wiebke Weidanz; Carolyn Sampson; Andre Morsch; Cappella Amsterdam; Orchestra of the 18th Century; Daniel Reuss,1,CD,14.81,22.99,"The Six Recorder Sonatas by George Frideric Handel are a compendium of the recorder's original literature, and have an exceptional position because of their beauty. They're typically Handelian in character, in that the upper voice is very vocal, like his operas. The melodies are truly captivating and remarkable for their "simplicity" which demands far more virtuosity than simply moving the fingers quickly. The goal of Stefan Temmingh, one of Germanys most renowned recorder players of the younger generation, is to come as close as possible to the greatest of all instruments - the human voice. The bass line makes an equal counterpart to the recorder part; it's opulent, virtuosic and full of variety - much more than in comparable pieces. It's executed without cello only by harpsichord, performed in an outstanding way by Wiebke Weidanz.",,https://b2b.naxosusa.com/Album.aspx?product=ACC%2024353dig,01 Classical,Classical,,Austria,2019 note 1 music ,2019 note 1 music ,,,,,,,,,,,,,,,,,,,,
2019,BEL,Bel Air Classiques,BAC561,3760115305618,Pyotr Ilyich Tchaikovsky ,Tchaikovsky: The Nutcracker,Ballet Company of the National Opera of Ukraine; Iuliia Moskalenko; Mykyta Sukhorukov; Valery Kovtun,1,Blu-ray,19.49,29.99,"On Christmas Eve, a young girl has a dream... Emotional awakening, physical transformation, childhood that slowly merges into adulthood... behind what seems to be a tale for children slowly emerges a danced initiatory journey. And while children revel in Drosselmeyer's magic tricks and enjoy a good scare with the apparition of the Mouse King, the adults notice all the finesse that pervades this narrative and admire the virtuosity of the choreography. A first class company, the Ballet Company of the National Opera of Ukraine has toured all around the world: from the United States to Europe and Asia. Thanks to its rich classical heritage, the Company has managed to win the hearts of its audience thanks to its amazing technique and artistic maestria, and as in every good dance company, the whole is equal to the sum of its parts. The Company has also, over the years, establised itself as a unique talent pool, that has nurtured first class dancers such as Iana Salenko (Staatsballet Berlin), Alina Cojocaru (Royal Ballet), Maxim Beloserkovsky and Irina Dvorovenko (American Ballet Theater).",,https://b2b.naxosusa.com/Album.aspx?product=BAC561,DVD/Blu-ray,DVD/Blu-ray,,Austria,,2018 Bel Air Classiques,62 Classic Films,5,Ballet Company of the National Opera of Ukraine; Bertrand Normand; Iuliia Moskalenko; Mykyta Sukhorukov; Pyotr Ilyich Tchaikovsky; Valery Kovtun,Bertrand Normand,1,,2018 Bel Air Classiques,AT,NR,NTSC,0,BD-25,,,"PCM 2.0, DTS HD Master Audio 5.1",Color,16:9,97,2018,"Amazon VOD,iTunes,Naxos Video Library"
2019,BRI,Brilliant Classics,BRI95636,5028421956367,Anton Arensky ,Arensky: Piano Trios,Trio Carducci ,1,CD,7.79,11.99,"The chamber music of Anton Arensky (1861-1906) embodies a happy and inspired synthesis of two contrasting sound-worlds: the peculiarly Russian language of Rimsky-Korsakov and the 'Mighty Handful', and that of Western-European accents exemplified in the sphere of chamber music by Brahms, but filtered through Tchaikovsky's West-leaning approach. It's Mendelssohn who comes to mind in the vernal surge of energy that opens the First Piano Trio which is Arensky's best-known work beyond his piano music. The sombre third-movement elegy is a tribute to the cellist Davidoff, and accordingly opens with a soulful cello melody, before an impassioned finale banishes all introspection. Composed over a decade later in 1905, the Second Trio replaces such youthful energy for a more concise and refined harmonic idiom that even brings to mind Gabriel Fauré at points such as the polished, elusive second-movement Romance. After a delightfully capricious Scherzo full of subtle rhythmic shifts and conversational hesitations, the Second Trio concludes with an expansive set of variations on a noble theme in Tchaikovskian vein. Formed in 2016, the Carducci Trio has already won praise for its accomplished performances of Russian music in particular, having recently made a tour of China and given London performances at the Royal Albert Hall (Elgar Room) and Academy of St Martin in the Fields. This is the Trio's debut recording.",,https://b2b.naxosusa.com/Album.aspx?product=BRI95636,01 Classical,Classical,,Germany,2018 Brilliant Classics,2018 Brilliant Classics,,,,,,,,,,,,,,,,,,,,
2019,BRI,Brilliant Classics,BRI95651,5028421956510,Alexander Scriabin ,Scriabin: Complete Preludes,Dmitri Alexeev,2,CD,9.35,14.99,"The Complete Preludes constitutes another captivating milestone in Dmitri Alexeev's ongoing project to record Scriabin's entire oeuvre for the piano on Brilliant Classics, a cycle that already includes the complete Piano Sonatas and Complete Études. The 90 preludes composed by Alexander Scriabin (1872-1915) span the entirety of the three periods into which his musical career is usually divided. His fastidious habit of indicating the date and location of compositions allows us to trace groups of roughly contemporary pieces. Consequently, it can be seen that around half of the preludes fall into the 'first period' (1888-1900), in which the composer's music was heavily influenced by Frédéric Chopin's work. Scriabin's music evolved over the course of his life, and in 1900, he completed the 2 Preludes Op.27. These compositions exorcised the spirit of Chopin which had hovered over their predecessors, therefore marking the end of the so-called 'first period'. Whilst more harmonically adventurous, his 'middle period' works still mostly adhere to traditional functional tonality. In the third period (1910-14) Scriabin composed his final works, the Preludes Op.74. Stable tonality and key signature disappear completely. However, Scriabin's interest in symmetrical patterning is highly evident. They raise the tantalising question of where Scriabin might have taken 20th-century music had he not tragically died the following year. Russian pianist Dmitri Alexeev is one of the world's most highly regarded artists. His critically acclaimed recitals on the world's leading concert stages and concerto appearances with the most prestigious orchestras have secured his position as one of 'the most remarkable pianists of the day' (Daily Telegraph).",,https://b2b.naxosusa.com/Album.aspx?product=BRI95651,01 Classical,Classical,,Germany,2018 Brilliant Classics,2018 Brilliant Classics,,,,,,,,,,,,,,,,,,,,
2019,BRI,Brilliant Classics,BRI95673,5028421956732,Max Bruch ,"Bruch: Double Concerto for Clarinet, Viola & Orchestra Op.88; 8 Pieces for Clarinet, Viola & Piano Op.83",Giovanni Punzi; Eva Katherine Dalsgaard; Tanja Zapolski; Copenhagen Phil,1,CD,7.79,11.99,"The spring of Bruch's invention was running dry in the first decade of the last century when it was refreshed once more by the sound of the clarinet. Just as the playing of Richard Muhlfeld had inspired Brahms to write his Clarinet Quintet and two sonatas, so Bruch discovered the melodies flowing from his pen once more thanks to his clarinettist son, Max Felix, to write the two works on this new album. Having composed no chamber music for several decades, he wrote the Eight Pieces for clarinet, viola and piano in 1909. They belong to the genre of character pieces by Schumann such as the eight Fantasiestücke Op.12, though they lean towards reflective introversion. The cycle's high-point arrives with the fourth piece, a Romanian melody introduced to him by a young and beautiful aristocrat, the Princess zu Wied. Two years later, having retired from all his official posts of teaching and performing, Bruch produced a harvest of choral and instrumental music including this lovely Double Concerto for clarinet and viola in E minor. The two solo instruments thread and entwine melody around each other in the manner of Brahms's Double Concerto: it's a rhapsodic work, full of his son's youthful high spirits, that captivates many listeners once they have encountered it, hardly less than the composer's First Violin Concerto, and a discovery well worth making for anyone not wholly in thrall to the tenets of Modernism which Bruch resisted so stoutly. Principal clarinet of the Copenhagen Phil and professor of clarinet at the Royal Danish Academy of Music, Giovanni Punzi was born in Salerno in 1989. He is joined here by Danish colleagues.",,https://b2b.naxosusa.com/Album.aspx?product=BRI95673,01 Classical,Classical,,Germany,2018 Brilliant Classics,2018 Brilliant Classics,,,,,,,,,,,,,,,,,,,,
2019,BRI,Brilliant Classics,BRI95679,5028421956794,Roberto Gerhard; Federico Mompou ,Gerhard & Mompou: Complete Music for Solo Guitar,Marco Ramelli,1,CD,10.91,16.99,"Federico Mompou was the shy post-Romantic, Roberto Gerhard the gregarious Modernist. Quite unalike in personality, in artistic aims and language, the two nonetheless held each other in high esteem. Like so many other composers, Mompou began to write guitar music having met and been inspired by Andres Segovia. This friendship principally yielded the six-movement Suite Compostelana. A Baroque construction enclosing a flowing, arpeggiated Prelude, a crystalline Chorale, a searching Recitative and a deftly embroidered Cancion, the Suite is entirely original in its themes with the exception of the joyful stamp of the finale which is based on the Muiñeira de Lugo, a typical Galician dance usually played on a form of bagpipe known as a gaita. In complement to the Suite Compostelana, Marco Ramelli adds a pair of the Cançons i danses, transcribed from the piano originals for solo guitar. These poetic miniatures, mostly gentle in mood, were a kind of diary for Mompou, compiled one by one throughout his career. Their reserved Impressionism perfects a particular personality belonging to 'The Spanish Guitar'. Roberto Gerhard brought its more extrovert side to life with a sequence of incidental music written for a TV adaptation of Ernest Hemingway's novel For Whom The Bell Tolls - made in England, shortly after the composer had moved there as an exile from the Spanish Civil War. For this recording, Marco Ramelli has used a guitar built in 1931 in Barcelona by Francisco Simplicio, one of the most important Catalan luthiers. Its intense and raw sound forms a native counterpart to both the poetic moods of Mompou and Gerhard's dissonances.",,https://b2b.naxosusa.com/Album.aspx?product=BRI95679,01 Classical,Classical,,Germany,2018 Brilliant Classics,2018 Brilliant Classics,,,,,,,,,,,,,,,,,,,,
2019,BRI,Brilliant Classics,BRI95734,5028421957340,Jacques Casterede; Arthur Honegger; Charles Koechlin; Guillaume Lekeu; Camille Saint-Saens ,Ciconia Consort: French Music for String Orchestra,Ciconia Consort,1,CD,10.13,15.99,"The name of Jacques Castérède (1926-2014) may not be well known outside his native France, but the taut and compelling Symphony for strings which he wrote at the age of 26 - his first major work - deserves far wider recognition. Tension runs high throughout the opening Modéré before breaking into a violent Scherzo in the manner of Bartok's Music for Strings, Percussion and Celesta. Shostakovich and indeed the Second Symphony of Arthur Honegger may be called to mind by the impassioned lyricism of the slow movement, which rises from darkness before discovering a point of radiant transfiguration in the movement's coda. Restless counterpoint brings the finale to an exhilarating, emphatic conclusion. The first recording of Castérède's symphony won a Grand prix du disque, but it has taken half a century for the second to be made by this young and exciting Dutch string ensemble as the centrepiece of their debut on CD. Turbulent energy and sombre elegy are the key signatures of the imaginative programme: Honegger's Second Symphony of 1937 explores the same expressive territory as Castérède's Symphony, though its trumpet-led apotheosis achieves hard-won resolution. Reflective miniatures by Koechlin, Honegger and Saint-Saëns are highly coloured by their composer's individual voices, and there is space for the heartfelt Adagio of Guillaume Lekeu, which belongs in the company of Mahler's Adagietto and Barber's ubiquitous Adagio.",,https://b2b.naxosusa.com/Album.aspx?product=BRI95734,01 Classical,Classical,,Germany,2018 Brilliant Classics,2018 Brilliant Classics,,,,,,,,,,,,,,,,,,,,
2019,BRI,Brilliant Classics,BRI95753,5028421957531,Mark Delpriora; Osvaldo Golijov; Marc Ribot; Terry Riley; George Rochberg; Ruth Crawford Seeger; Charles Wuorinen ,Daniele Ruggeri & Alberto Mesirca: Music for Flute & Guitar,Daniele Ruggeri; Alberto Mesirca,1,CD,10.91,16.99,"Among the most extensive works here is the cycle of Cantos Desiertos (1996) composed for flute and guitar by Terry Riley. The cycle was later incorporated within The Book of Abbeyzoud, an album with a character suspended between the Biblical, the mystical and the exotic. Francesco en Paraiso is a tender memorial to the countertenor Frank Royon Le Mée (1952-1993). The cycle continues with an Indian melody, and a melancholy lament before ending with a sultry Tango Ladeado (Tango Off-Centre). Hardly less substantial is Muse of Fire (1990) by George Rochberg, written in the shadow of the Gulf War: hence the sudden stops and starts, the military evocations, the funeral marches, the moments of dream-like lyricism and the rhapsodic soliloquies. Ora pro nobis (1991) is based on the slow movement of Bach's Italian Concerto: a plea for release at a deeply troubled time. Bateau is a song from the 2003 album Ceramic Dog by Marco Ribot, who works mostly with jazz and post-rock musicians: this is the work's first performance on classical guitar, and Alberto Mesirca brings out the delicate textures that evoke light shimmering on water. Of similar aquatic origins, Fish Tale is a 'watercolor for flute and guitar' by Osvaldo Golijov: 'I wanted everything to be beautiful,' said the composer, 'even at the expense of some sense.' This unique compilation concludes with shorter solo pieces alternating between flute and guitar, taking in the satisfyingly intricate textures of Crawford Seeger and Wuorinen at each end of American modernism, as well as a touching elegy by Mark Delpriora in memory of a student of his, Basil Keiser. This is the third solo album on Brilliant Classics by the guitarist Alberto Mesirca after his collections of music by Regondi and Sanz.",,https://b2b.naxosusa.com/Album.aspx?product=BRI95753,01 Classical,Classical,,Germany,2018 Brilliant Classics,2018 Brilliant Classics,,,,,,,,,,,,,,,,,,,,
2019,BRI,Brilliant Classics,BRI95757,5028421957579,Johann Sebastian Bach ,Bach: Violin Sonatas & Partitas; Cello Suites (transcribed for harpsichord by Gustav Leonhardt),Roberto Loreggian,3,CD,10.91,16.99,"During the late 1970s, the Dutch harpsichordist Gustav Leonhardt (1928-2012) transcribed and arranged the works by Bach for solo violin and solo cello for harpsichord. He played them in his own recitals and recorded some of them for a German label. Only in 2018 did these arrangements become more widely available for keyboard players thanks to a new Bärenreiter edition prepared by Siebe Henstra at the invitation of Leonhardt's widow Marie and daughter Saskia. With typical understatement, Leonhardt declared that 'I think Bach would have forgiven me for the fact that I have set myself to making arrangements of his works. Whether or not he would have forgiven the way I have done it, remains of course a moot point.' The Cello Suites, the Sonatas and Partitas for solo violin and a pair of slow dances (originally for flute and for lute) now receive their first recordings not made by Leonhardt himself, and at the hands of an early-music keyboard player who has enriched the Brilliant Classics catalogue with acclaimed recordings of Telemann, Frescobaldi, Bach and much more. Leonhardt's transcription of the great Chaconne from the D minor Partita is as rich and thrilling as to be anticipated from one of the sovereign Bach interpreters of our age (or any other), discreetly opening out Bach's implied harmonies without adding superfluous anachronisms. In some ways more enlightening and impressive are his elaborations of the Cello Suites' plainer textures. Much more than a curio, this significant new album demands the attention of all Bach devotees.",,https://b2b.naxosusa.com/Album.aspx?product=BRI95757,01 Classical,Classical,,Germany,2018 Brilliant Classics,2018 Brilliant Classics,,,,,,,,,,,,,,,,,,,,
2019,BRI,Brilliant Classics,BRI95765,5028421957654,Valentin Silvestrov ,Silvestrov: Touching the Memory,Alexei Lubimov; Ensemble Musiques Nouvelles; Elise Gabele; Valentin Silvestrov,1,CD,12.47,19.99,"Born in 1937, Valentin Silvestrov may be counted a Russian minimalist alongside his contemporaries Arvo Pärt and Giya Kancheli, although not an especially 'holy' one; if he has gods, they are likely to be Webern and Mozart. Silvestrov distinguishes himself from those contemporaries by the sharpness of his ears and the freshness of his thinking. Silvestrov's Fifth Symphony achieved a cult status among dissident Soviets and then in the West through the gradual dissemination of a recording made in 1976. The loving adieus of his later music have come about through an immersion in the Western avant-garde, with Webern as the fountain-head, that unlike Pärt he has not so much disowned as refined. This is music perpetually on the threshold of saying goodbye, wholly in love with the Viennese classics and yet regretfully aware that their world is irrecoverable. The 10-minute Epitaph for cello and piano is one of several works Silvestrov composed in memory of his wife Larissa, who died in 1999. The Hymn of 2001 dedicated to Kancheli is significant and touching out of all proportion to its brevity: according to the composer, 'all melodic content from my other compositions can also be found here. A rest does not only constitute a lack of sound, but is also a state of retardation and paralysis or a suspension of time. In early music, there was an occasional need for silence, but here it is a fundamental feature.' This new album also contains some first recordings. Principal among them is the song-cycle Moments of Poetry and Music, setting a text by Paul Celan in Russian translation. Made live at a concert in Brussels, the recording is led by the pianist Alexei Lubimov, a longstanding friend of Silvestrov and authoritative interpreter of his music.",,https://b2b.naxosusa.com/Album.aspx?product=BRI95765,01 Classical,Classical,,Germany,2018 Brilliant Classics,2018 Brilliant Classics,,,,,,,,,,,,,,,,,,,,
2019,BRI,Brilliant Classics,BRI95782,5028421957821,Carl Philipp Emanuel Bach; Luigi Boccherini; Max Bruch; Gabriel Faure; Joseph Haydn; Dmitry Kaba; Leonardo Leo; Matthias Georg Monn; Giovanni Benedetto Platti; Nicola Porpora; Camille Saint-Saens; Robert Schumann; Pyotr Ilyich Tchaikovsky; Antonio Vivaldi ,Cello Concertos Edition,Francesco Galligioni; L'Arte dell'Arco; Federico Guglielmo; Adriano Maria Fazio; Soloists of Capella Neapolitana; Ensemble Cordia; Julius Berger; Sudwestdeutsches Kammerorcheste,15,CD,49.91,76.99,"This set brings together outstanding performances of landmark works from the full range of the cello concerto's relatively short history, from the Baroque to the end of the last century. Before 1800 few important cello concertos were written - with the exception of works by composers of stature such as C.P.E. Bach, Haydn, Boccherini and Vivaldi. The latter's typically inventive and diverse cello concertos with eloquent slow movements are almost certainly the very first composed for this instrument. That most of the great cello concertos were composed after the Baroque or Classical period is rather ironic, since the ever-larger orchestral forces of the 19th century and beyond required much more care from the composer to avoid overwhelming the solo cellist in the lower register. Dvorák scored his magnificent cello concerto (1894-5) for a weighty orchestration, containing three trombones and tuba, but his experience enabled him to judiciously manage the solo/orchestra balance. The result is an epic work brimming with melodies and embracing a wide range of emotions. Alongside Dvorák, Schumann and Saint-Saëns brought full recognition to cello concertos. In 1850, Schumann's cello concerto became the first major concerto for this instrument since Boccherini's examples from 1780. 20th-century composers have made the cello a standard concerto instrument. Among the most notable from the first half of the century is Elgar's, composed in 1919, in which the English composer explores introspective and meditative expression. Polish composer Witold Lutoslawski, one of the outstanding musical minds of the latter half of the 20th century, employs avant-garde techniques in his concerto (1969-70) along with the typical drama of soloist/orchestra confrontation.",,https://b2b.naxosusa.com/Album.aspx?product=BRI95782,01 Classical,Classical,,Germany,2018 Brilliant Classics,2018 Brilliant Classics,,,,,,,,,,,,,,,,,,,,
2019,BRI,Brilliant Classics,BRI95838,5028421958385,Leo Brouwer ,Brouwer: Hika & the Young Composer,Frederic Zigante,1,CD,9.35,14.99,"This recording presents some of the most significant early pieces by the Cuban composer Leo Brouwer (b.1939); it also includes other works, such as Hika from 1994 and the third and fourth series of his Estudios sencillos (1981), which show clear similarities with the composer's early style. First to be composed of the works here is a Danza caracteristica from 1956. A popular song melody forms the basis for an Afro-Cuban flavored fantasy. The Fugue No.1 dates from the following year, when Brouwer was still a teenager: having outlined a theme of Baroque proportions he takes a fairly free attitude to its contrapuntal elaboration, anticipating the concise play of fantasy in the Tres Apuntes of 1959. Having soon after moved to the US, Brouwer composed the first two books of the Estudios sencillos out of financial necessity, but they have proved among his most enduring and successful works, drawing energy not only from his Cuban heritage but the didactic economy of the Mikrokosmos by Bartók. Almost all of the third and fourth books from the series date from 1981; although Brouwer had both moved back to Cuba by then as well as moved on in his own style towards a more neo-romantic language, he rediscovered the lively economy of thought which runs through the earlier studies, combining it with both neoclassical harmonies and even chance procedures to produce among the most significant collections of guitar studies from the second half of the last century. 'These short pieces reflect all of Brouwer's creative genius,' says Frédéric Zigante, 'and I have always been fond of them, first as a young student of guitar and later as a guitar teacher. To me, they are an ideal method for weaning young guitarists from the didactic repertory of the 19th century.'",,https://b2b.naxosusa.com/Album.aspx?product=BRI95838,01 Classical,Classical,,Germany,2018 Brilliant Classics,2018 Brilliant Classics,,,,,,,,,,,,,,,,,,,,
2019,BYU,BYU Records,YCD0518NWL,714861018523,Adolphe Adam; Leroy Anderson; Ralph Blane; John Goss; Wes Kinneson; William J. Kirkpatrick; Hugh Martin; Glenn McClure; Stephen Paulus; Pyotr Ilyich Tchaikovsky; Edward Caswall ,BYU Combined Choirs & Orchestra: Celebration of Christmas - Noel,BYU Combined Choirs and Orchestra,1,CD,10.91,16.99,"Each Christmas season at Brigham Young University over 500 vocalists and instrumentalists celebrate the season in song. Handpicked from the largest private student body in the country, these students comprise four nationally and internationally acclaimed choirs and the highly praised Philharmonic Orchestra. These musical organizations are known for their unity, due in part to the superb technical proficiency achieved under the hands of choral conductors Rosalind Hall, Dr. Andrew Crane, and Jean Applonie and Philharmonic conductor Kory Katseanes. But there is more. Students and conductors share a strong belief in the spiritual character of music. As one critic observed, "The spiritual element is present in each piece the choirs sing." This results in performances that are alive, fresh, and heartfelt--performances that overcome boundaries and draw people together. The music presented here was recorded during the live performances of the December 2016 and 2017 Celebration of Christmas concerts.",,https://b2b.naxosusa.com/Album.aspx?product=YCD0518NWL,16 Seasonal,Holiday|Christmas: Classical,Holiday|Christmas,United States,2018 BYU Records,2018 BYU Records,,,,,,,,,,,,,,,,,,,,
2019,CAP,Capriccio,C5352,845221053523,Dmitri Shostakovich; Igor Stravinsky ,"Stravinsky: Funeral Song, Op. 5; The Firebird; Shostakovich: Symphony No. 12 in D minor, Op. 112",ORF Vienna Radio Symphony Orchestra,1,CD,13.25,20.99,"The both hailed from Russia, and they were contemporaries. But their biographies could hardly have been more different: Igor Stravinsky and Dmitri Shostakovich. The one was an urbane dandy, and the other an introverted melancholic. Both were deeply rooted in the music of their homeland, Stravinsky in the wealth of myths and folk customs of past centuries, and Shostakovich directly in the historical events that shook Russia to its very core and frequently gave rise to existential fears. Cornelius Meister, just awarded as ""Conductor of the year"" by the German classical music award Opus, knows again how to handle these different colors of sounds and shows them in an most transparent way. The ORF Vienna Radio Symphony Orchestra has been his best disposed partner for these recordings.",,https://b2b.naxosusa.com/Album.aspx?product=C5352,01 Classical,Classical,Classical|Orchestral,Austria,2019 Capriccio,2019 Capriccio,,,,,,,,,,,,,,,,,,,,
2019,CAP,Capriccio,C5318,845221053189,Karl Weigl ,Weigl: Violin Sonata No. 2; Two Pieces for Violin; Two Pieces for Cello; Piano Trio,David Fruhwirth; Benedikt Kloeckner; Florian Krumpock,1,CD,13.25,20.99,"Somewhere between the first and second decade of the "short" 20th century, the great Viennese musical tradition of Beethoven, Brahms, Bruckner, and Mahler supposedly crashed into the limits of tonality and came to a halt. Schoenberg, Webern, and Berg composed anew, now according to what was supposed to be the "historically inevitable" system of atonality. Karl Weigl went on to write marvelously traditional music. Schoenberg wrote in 1938 that "I always considered Dr. Weigl one of the best composers of the old school; one of those who continued the glittering Viennese tradition." And that is what we hear in abundance in Weigl's output throughout the genres: His symphonies, his songs, his concertos, his string quartets, and the chamber works for piano, cello, and violin in various combinations.",,https://b2b.naxosusa.com/Album.aspx?product=C5318,01 Classical,Classical,Classical|Chamber Music,Austria,2019 Capriccio,2019 Capriccio,,,,,,,,,,,,,,,,,,,,
2019,CAP,Capriccio,C7297,845221072975,Erwin Schulhoff ,"Schulhoff,: Masterpieces",Jaques Zoon; Frank-Immo Zichner; Margarete Babinsky; Petersen Quartett; Leipziger Streichquartett; Symphonieorchester des Bayerischen Rundfunks; Deutsches Symphonie-Orchester Berlin ,6,CD,23.39,35.99,"As an internationally successful pianist and composer, Erwin Schulhoff was one of the most important Czech artists in the first half of the 20th century. For the last twentyfive years, his works have been being rediscovered, and it goes to show that without him, a facet of the music of the 20th century would be missing. Not only did he abhor mainstream, but, like a sponge, he absorbed all musical currents of his time, and thus became a polystylist. For the first time now available in a single extensive release you'll find this enormous diversity of his musically work. The early piano pieces and string quartets, the symphonies and finally his Jazz Improvisations shows how tricky he played with the different genres and trends of his time.",,https://b2b.naxosusa.com/Album.aspx?product=C7297,01 Classical,Classical,Classical|Contemporary Era,Austria,2019 Capriccio,2019 Capriccio,,,,,,,,,,,,,,,,,,,,
2019,CDA,CD Accord,ACD244,5902176502447,Hanna Kulenty-Majoor; Krzysztof Lenczowski; Dawid Lubowicz; Mateusz Smoczynski; Michal Zaborski ,Atom String Quartet & NFM Leopoldinum Orchestra: Supernova,Atom String Quartet; NFM Leopoldinum Orchestra,1,CD,14.81,22.99,"Supernova - the second album of the Atom String Quartet recorded with the NFM Leopoldinum Orchestra is a kind of summary of the interesting and inspiring two-year collaboration of both ensembles. The album features compositions by members of the Atom String Quartet: Dawid Lubowicz, Mateusz Smoczynski and Michal Zaborski for jazz string quartet and string orchestra, as well as Concerto Rosso - a new piece by Polish composer Hanna Kulenty-Majoor dedicated to ASQ and NFM LO. "Since I have been associated with the NFM Leopoldinum Orchestra, I observe (...) the unobvious direction in which this orchestra is going, still looking for something new, something that would allow them to gain his own identity. This direction was largely delineated by the Leopoldinum's previous artistic director, Ernst Kovacic, who was constantly looking for a new, original repertoire for the orchestra, performing unknown or forgotten pieces, commissioning new works from contemporary composers and creating the unique Leo Festival. (...) The composer, in my opinion perfectly in line with the direction chosen by the orchestra, is Hanna Kulenty-Majoor - a brave, original and charismatic artist whose works we have often performed, also during the Leo Festival. Therefore, when the idea of commissioning a work for the NFM Leopoldinum Orkiestra and Atom String Quartet was born, I had no doubt that we should turn to Hanna Kulenty-Majoor, whose energetic style suits both the Atom String Quartet and NFM Leopoldinum. Music has always developed by mixing different styles, especially in the twentieth century. Maybe a new style is just being created somewhere between improvised and serious music? (...)." (Christian Danowitz)",,https://b2b.naxosusa.com/Album.aspx?product=ACD244,01 Classical,Classical,,Poland,2018 CD Accord,2017 Narodowe Forum Muzyki,,,,,,,,,,,,,,,,,,,,
2019,CTR,Centaur Records,CRC3637,044747363721,Anonymous; Noel Bauldeweyn; Jehan Le Cocq; Francis I. Mouton; Tielman Susato; Adrian Willaert ,"Du bon du cueur - Music by Mouton, Bauldeweyn, & Willaert",Capella Alamire; Alamire Consort ,1,CD,13.25,20.99,"Du bon du cueur is a courtly chanson of the early 16th Century. The poem hearkens back to 15th Century life, but the melody that resonates throughout this recording was first set by Jean Mouton, a contemporary of Josquin DePrez and court composer to the French Kings. Capella Alamire was formed in 1984 in Cambridge, Massachusetts, for the purpose of exploring the repertoire of the Renaissance. The word Alamire is a solmization term for the pitch A, sung as la, mi, or re; it was also the pseudonym of a Flemish music scribe employed by the Habsburg court at the beginning of the 16th century in the region of present-day Belgium and northern France, an area that produced many of the greatest composers and singers of the time.",,https://b2b.naxosusa.com/Album.aspx?product=CRC3637,01 Classical,Classical,,,"2018 Centaur Records, Inc. ","2018 Centaur Records, Inc. ",,,,,,,,,,,,,,,,,,,,
2019,CTR,Centaur Records,CRC3652,044747365220,Johann Sebastian Bach; Dietrich Buxtehude; Francois Couperin; Wilhelm Hieronymous Pachelbel; Domenico Scarlatti ,William Popp: Baroque Accordion,William Popp ,1,CD,13.25,20.99,"This is an album of Baroque works, arranged for and performed on Accordion by master accordionist William Popp. The great Baroque works are magnificent in many different mediums, and this album is a great example of this. William Popp began his studies on the piano at the age of six and on the accordion at the age of eleven. He earned his bachelor's and master's degrees in performance from the University of Denver where he studied accordion with Robert Davine. He has performed and toured extensively on accordion and harpsichord with the United States Air Force Strings and has appeared with this group at such prestigious venues as The White House, the State Department, and the Kennedy Center. William Popp has also performed in concert with members of the National Symphony Orchestra, the Denver Symphony Orchestra (now the Colorado Symphony Orchestra), the 21st Century Consort, National Musical Arts, and Colorado Chamber Players. He has toured throughout the world with the USAF Strings and has appeared as a soloist in Beijing, China.",,https://b2b.naxosusa.com/Album.aspx?product=CRC3652,01 Classical,Classical,,,"2018 Centaur Records, Inc. ","2018 Centaur Records, Inc. ",,,,,,,,,,,,,,,,,,,,
2019,CTR,Centaur Records,CRC3665,044747366524,Franz Schubert ,The Grand Duo - Schubert Complete Sonatas,Elizabeth Holowell; Erin Helyard ,1,CD,13.25,20.99,"This album includes the complete Franz Schubert Sonatas for Violin and Piano, performed on period instruments. Elizabeth Holowell is an eminent teacher of violin and viola, chamber music and string orchestra, with extensive experience at universities and music colleges in Australasia and Britain. Her graduates are found in many major international orchestras. She was herself a student of Robert Pikler who was, in turn, taught by Hubay and by Thibaud. Elizabeth was a core member of the Australian Chamber Orchestra and has played in the Australian Opera and Ballet Orchestra, the William Hennessy String Quartet, and the Newcastle University Piano Trio. Erin Helyard has been acclaimed as an inspiring conductor, a virtuosic and expressive performer of the harpsichord and fortepiano, and as a lucid scholar who is passionate about promoting discourse between musicology and performance. Erin graduated in harpsichord performance from the Sydney Conservatorium of Music with first-class honours and the University Medal. He completed his Masters in fortepiano performance and a PhD in musicology with Tom Beghin at the Schulich School of Music, McGill University, Montreal. He was named the Westfield Concert Scholar (Cornell University) on fortepiano for 2009-2010 and from 2003 to 2012 Erin was a central member of the award-winning Ensemble Caprice (Montreal). As Artistic Director and co-founder of the celebrated Pinchgut Opera and the Orchestra of the Antipodes (Sydney) he has forged new standards of excellence in historically-informed performance in Australia.",,https://b2b.naxosusa.com/Album.aspx?product=CRC3665,01 Classical,Classical,,,"2018 Centaur Records, Inc. ","2018 Centaur Records, Inc. ",,,,,,,,,,,,,,,,,,,,
