L2L         ,2L,2L-140-SABD,7.04189E+12,KARLSEN  ENSEMBLE 96  LJONES,DANIEL-LESUR  DYRUD  HAVORY,SO IS MY LOVE,BLU-RAY AUDIO + SACD,2,27.29,41.99,2017,"""So is my love"" is about love and the beloved, and this includes the sense of love awakened in us by religious faith and by nature. In works by Dyrud, Odegaard, Havrøy, Daniel-Lesur and Stockhausen the countless facets of love are painted in music and words: we encounter passion, lust, prayer and longing, but we also find humour, playfulness and joy. The two previous albums produced by 2L with Ensemble 96 were honored by The Recording academy with nominations to the GRAMMY Award in both technical craft and performance categories. The chamber choir Ensemble 96, which consists of 24 highly qualified singers, is one of Norway’s leading vocal ensembles, and has gained its reputation through many critically acclaimed concerts, premieres, and recordings. It has a particular focus on contemporary music and seeks to expand the traditional choir concert by means of collaborations with other artists, including dancers, actors, and visual artists. The ensemble often presents a mix of contemporary music and classical songs. The musical director and conductor is Nina Therese Karlsen, who holds an MA in Choir Conducting from the Norwegian Academy of Music."
BRI         ,BRILLIANT,BRI95352,5.02842E+12,"Signorini, Luca; Candela, Dario; Manara, Francesco","Pilati, Mario","Pilati: Chamber Music for Violin, Cello and Piano",COMPACT DISC,2,15.59,23.99,2017,"Who was Mario Pilati? A significant if shortlived (1903-38) figure in Italian instrumental music during the 1920s and 1930s: a gifted conductor, fluent pianist, practical teacher, essayist and perspicacious observer of the musical life of his times. His own music is celebrated here, and anyone who takes pleasure in Romantic chamber music, the neoclassical idiom of Stravinsky, or the vigorous yet always lyric idiom of Respighi and Casella, will find much to enjoy here. In fact Pilati’s music for piano and for orchestra has received some attention on record; much less so his chamber works, making this new 2CD set an important addition to Brilliant Classics’ unrivalled catalogue of Italian music from 1850-1950. The troubled expression of the three- movement, half-hour sonatas for violin and cello (1928) reflects the temper of their times, whereas the Preludio, Aria & Tarantella on Old Neapolitan Folk Tunes for violin and piano apparently turn away from intense battles between tension and reconciliation with the kind of light touch and folk-inspired humour that may be found in the best early works by Casella. There are several miniatures from the 1920s which attest to Pilati’s elegance and sophistication early in his career, as well as to the excellence of his training in his native Naples (though he moved to Milan at 22 and made his career there). Despite its name, Inquietude is a flowing study for piano, reminiscent of Debussy. The set is completed by his two volumes of Bagatelles for solo piano, which frequently draw on Neapolitan themes: 11 relaxed and convivial pieces in all, of an easy charm that would not disgrace Pilati’s friend Nino Rota, and written in an accessible style which may reflect their dedication to the composer’s three daughters. The album is comprehensively documented with valuable notes on both the composer and his work by the pianist Dario Candela: a student of Aldo Ciccolini, who described his pupil as ‘an excellent pianist of great class’. He is joined here by Francesco Manara – a former leader of the orchestra at La Scala, Milan – and the cellist Luca Signorini who, like Pilati, pursues a diverse career as a performing musician, conductor and writer."
BRI         ,BRILLIANT,BRI95494,5.02842E+12,Motus Mandolin Quartet,"Calace, Raffaele; Vecchia, Salvatore Della",Calace: Music for Mandolin Quartet,COMPACT DISC,1,6.23,9.99,2017,"With concertos, duets, preludes, studies, sonatas and miniatures galore to his name, Raffaele Calace is a seminal figure in the history of the Neapolitan mandolin. He was born in Naples in 1863 into a family of luthiers, yet surpassed his father and grandfather in a reasonably long career dedicated to the manufacture and promotion of his instrument. After taking over the family workshop in 1905 he transformed it into a cultural centre that covered all aspects of music-making. Alongside his fertile talent for composition displayed on this disc, Calace continued to innovate in manufacture, designing and producing a concerto mandolin which in range and volume would stand up to a fair-sized orchestra, thus enabling many other composers to write for the instrument. He also created a ten-stringed mandolon-cello and a bass archlute, which could replace the bowed double bass in mandolin orchestras. It was on this instrument that Calace was himself a noted virtuoso, and his own family followed his path; including his daughter Maria, to whom the album’s opening Fantasia Poetica is dedicated, and his son Enzo, dedicatee of a lovely Idyll Op.58. Another son, Vincenzo, even attended the prestigious classes of Ferruccio Busoni in Berlin. All the works here have an immediate charm, whether they are reflective in mood such as the Largo mesto (dedicated to Mussolini in its original version as the slow movement of a concerto for mandolin and piano), Slow Minuet and the album’s concluding Elegy, straightforwardly exuberant (a Spanish Dance Op.105) or more ambiguously reflecting Calace’s Neapolitan heritage, in the unstoppable energy of an early Tarantella and the Saltarello Op.79. Having founded the Motus Mandolin Quartet in 2015, the four members belong to two generations of Neapolitan musicians. This is their first recording together. For them, it could have only one subject: Calace, ‘the most charismatic musician in the history of our instrument.’"
BRI         ,BRILLIANT,BRI95496,5.02842E+12,"Popken, Ralf; True, Stefanie; Musica ad Rhenum; Vitale, Marco; Criscuolo, Renato; Zadori, Maria; Max, Hermann; Kowalski, Jochen; Wentz, Jed; Varriale, Valentina; Korondi, Anna; Capella Savaria; Pank, Siegfried; Concerto Armonico Budapest; Harmonices Mundi; Winter, Veronika; Peteri, Judit; Rydén, Susanne; Nemeth, Pal; Astronio, Claudio; Akademie für Alte Musik Berlin; Wemyss, Nicola; Bertagnolli, Gemma; Recondita Armonia; Passin, Karl-Heinz; Schornsheim, Christine; Mvsica Perdvta; Pertorini, Rezso; Das Klein","Anonymous; Giuvo, Nicola; Handel, George Frideric; Keiser, Reinhard; Pamphili, Benedetto; Rolli, Paolo Antonio; Tasso, Torquato","Handel in Italy: Cantatas, Arias, Serenata",COMPACT DISC,14,38.99,59.99,2017,"This extensive set showcases works from Handel's short but astonishingly productive time in Italy in his twenties, just before he settled in London. His travels around the country provided him with the opportunity to meet a number of influential contemporaries, and the results of this compositional flourishing are wide-ranging, from opera via instrumental music to secular cantatas. This release focuses particularly on the latter, affording the listener a fascinating glimpse into the first appearance of many melodic ideas which would later resurface in Handel's mature dramatic works. Indeed, listeners might well feel as though they are listening to scenes from operas – cantatas were a means, at the time, of circumventing the ban on opera in Rome. The familiar theme of the joys and sorrows of love pervades much of the music, but the pieces are richly varied, particularly in their scoring: we hear flutes, recorders, oboes, bassoons, trumpets and the full contingent of strings, including viola da gamba, in numerous different combinations. Often, the orchestral forces for a particular piece are modest, but the emotional depth that Handel draws out is always striking. A high-calibre, international roster of soloists and ensembles performs the works, with many of the compositions for soprano sung by Stefanie True, whose ""vocal agility, accurate intonation and stylish ornamentation are spot-on in this repertoire"" (Music Web International). Meanwhile, early music specialists Contrasto Armonico bring ""soft and warm sonorities"" to the set (Gramophone)."
BRI         ,BRILLIANT,BRI95528,5.02842E+12,"Milani, Cinzia","Abloniz, Miguel; Dessagnes, Gontran; Duarte, John W.; Fampas, Dimitris; Lagoya, Alexandre; Milani, Cinzia; Morancon, Guy; Poulenc, Francis; Presti, Ida",A Tribute to Ida Presti,COMPACT DISC,1,9.35,14.99,2017,"‘One of the greatest guitarists of all time,’ remarked John Duarte in his entry on Ida Presti for Grove’s Dictionary of Music and Musicians. Best-known in posterity as one half of the celebrated Presti-Lagoya duo, she is celebrated on this album as a composer and virtuoso in her own right, half a century after her unexpected death in the middle of a US concert tour, at just 43 years of age. In her booklet-note, Cinzia Milani remarks that she has always considered Presti a role-model, not only for her prodigious talent as a guitarist, but as a female musician in a culture and industry still often dominated by male authority. She presents here six studies by Presti herself, a Danse rhythmique and an Etude du matin, and Presti’s tribute to her own hero, Segovia. Just as Presti dedicated the dance to her husband Lagoya, so Milani follows it with two works which he in turn dedicated to her. Then there are various works by composers little known outside guitar circles such as Miguel Ablóniz and indeed Duarte. Through all these works may be traced the joyous personality of Presti herself, summed up by her granddaughter Isabelle in the booklet as ‘elegant nimbleness, luminous musicality and wonderful self-confidence’. She was friends with many of the composers such as Gontran Dessagnes, who wrote his Tendesse for her in 1954. The work by Guy Morancon is a tribute to her memory, composed in the wake of her death. Finally, Milani has written her own tribute, Quattro Mi, in admiration for the extraordinary facility of Presti in holding down the note E (Mi in solfege) on four different strings simultaneously. By its nature, the album is unique in the catalogue, of immediate interest to guitarists and anyone curious about a great artist of the last century. The booklet contains contributions by the artist as well as by Isabelle Presti, granddaughter of Ida Presti."
BRI         ,BRILLIANT,BRI95541,5.02842E+12,"Gorna, Elena; Magistrelli, Luigi","Giuliani, Giovanni Francesco",Giuliani: Nocturnes for Clarinet and Harp,COMPACT DISC,1,6.23,9.99,2017,"Giovanni Francesco Giuliani was a Classical-era Italian composer not to be confused with his unrelated, slightly later and more renowned contemporary, the guitar virtuoso Mauro Giuliani, who is already well represented on Brilliant Classics with guitar concertos (BC92961), duets (BC93381) and songs for soprano and guitar (BC94779). Giovanni Francesco was a violinist by training and profession, born and schooled in Livorno but who made his career in Florence, where he became a highly regarded teacher and performer: he led the orchestra in several premieres of Rossini operas such as Il turco in Italia and Il barbiere di Siviglia. Giuliani also composed dramatic music of his own but he was better known in his own time for instrumental pieces which are indebted in style to the galant music of his teacher Pietro Nardini, whose string quartets (BC94438) and sonatas (BC93347) may also be found in Brilliant Classics recordings. The earlier Giuliani composed 12 nocturnes for clarinet and harp which here receive their first complete recording. They each have the structure of a slow introduction and a cheerful, quick main movement, unpretentious in character but written with brilliance as well as skill for their instruments, taking full advantage of the contrasting tonal qualities of clarinet and harp. The release is enhanced by contextual notes about this little-known composer by the clarinettist Luigi Magistrelli, who already has a distinguished discography to his credit on Brilliant Classics. He particularly specialises in reviving the work of little-known composers, and has recorded chamber and ensemble music with clarinet by Archduke Rudolph (BC94952), Caspar Kummer (BC94472) and Ferdinand Rebay (BC94171). This release will be of immediate interest to clarinettists and enthusiasts for out-of-the-way chamber music."
BRI         ,BRILLIANT,BRI95542,5.02842E+12,"Ensemble Imaginaire; Corrieri, Eugenia","Durante, Francesco",Durante: Concertos for Strings,COMPACT DISC,2,9.35,14.99,2017,"Naples in the first half of the 18th century ranked among the musical capitals of Europe. In the three major genres of operatic, sacred and instrumental music the city both attracted many of the continent’s best musicians to live and work there for a period, as well as nurturing a prodigious native tradition of performers and composers. Among the most distinguished of the latter company is to be counted Francesco Durante (1684-1755), praised by no less than Jean-Jacques Rousseau as ‘the greatest harmonist in Italy, which is to say in the world.’ Extravagant words, on the face of it, but backed up by many passages and twists of genius in the collection of eight concertos for string ensemble which features in this new recording from a sparky Italian period-instrument ensemble. Each concerto has its own proportions; only the Fifth followswhat we now think of as a three-movement, fast-slow-fast model. For the rest, fugues and double canons alternate with minuets and abrupt presto sections that translate some of the drama of opera into purely instrumental terms. The expression is always at full tilt; Neapolitan, one might say, and indeed it is Durante who passed down to posterity many of the characteristics that are now readily associated with an entire school and locale of composition. A world premiere recording distinguishes this set from its competitors: a concerto in B flat which did not belong to the single surviving hand-written score, but is indubitably by Durante, as its harmonic daring and vivid character will confirm. Ensemble Imaginaire gave the first performance of this concerto in modern times during the lead-up to this recording, which will be welcomed by all Baroque music enthusiasts."
BRI         ,BRILLIANT,BRI95559,5.02842E+12,"Bottini, Paolo","Valeri, Gaetano",Valeri: Complete Organ Music,COMPACT DISC,3,13.25,20.99,2017,"Gaetano Valeri is a composer who has only fully come to public attention over the course of the last three decades, thanks to the interest generated by a growing body of musicological research. Prolific and inventive, Valeri wrote a huge number of pieces for orchestra, organ, harpsichord and piano. Writing at a time of musical transition, Valeri had one foot firmly in his own era –which we would now regard as Classical – following the teachings of the Viennese school, and with some of his pieces bearing the hallmarks of Haydn's and Mozart's influence. At the same time, he remained attached to the then outmoded but still charming galant style, more prone to lavish ornamentation, popular earlier in the 18th century. Valeri was also very much a composer rooted in the land in which he lived – the Veneto region of north-eastern Italy. He wrote many works with specific organs in mind, as can be seen in the use in his scores of rare stops found particularly in the local area. On this recording, Paolo Bottini plays on carefully chosen instruments from churches in the same region, built by the same organ-builder, and with many features in common with those on which the composer would have played, in order to give us an authentic impression of what the music might have sounded like in Valeri's time. At the same time, Bottini makes some of his own decisions regarding sonic balance and use of stops independently of the composer's indications, creating a distinctive rendering of Valeri's music for organ. Bottini is a multi-keyboardist with a particular interest in historical organs. He is an ""expert player"" (Arkiv Music) who delivers ""engaging"" performances” (Music Web International), with a varied discography across a number of Italian record labels. This is his second recording for Brilliant Classics."
BRI         ,BRILLIANT,BRI95564,5.02842E+12,"Dacic, Misha; Wartz, Klara; Campanella, Michele; Benelli Mosell, Vanessa; Plasson, Michel; Vacatello, Mariangela; Maltempo, Vincenzo; Gavrylyuk, Alexander; Kopachevsky, Philip; Pace, Enrico; Dresdner Philharmonie; Russo, Irene; Freire, Nelson; Dumont, Francois; Dube, Jean; Filipec, Goran; Viner, Mark","Liszt, Franz",Liszt: The Great Piano Works,COMPACT DISC,15,46.79,71.99,2017,"Franz Liszt is universally celebrated as one of the greatest-ever virtuoso performers on the modern piano. Contemporary accounts describe his seemingly superhuman technical abilities and equally striking charisma and stage presence. Yet Liszt was a formidable composer, and his expansion of pianistic possibilities was achieved as much through innovation in his own great piano works as through his astonishing performance on the instrument, if not more. Like many child virtuosos thrust early into busy concert careers (Liszt’s began at the age of nine) he retired early, weary of the spotlight, turning his back on the stage at the remarkably early age of 35. Since he lived to the likewise remarkable old age of 75, much more than the latter half of his life was devoted solely to composition, and having been a pianist of his calibre, the works he created for his own instrument were indeed groundbreaking. Showcasing the demanding pieces in this set – from the thundering of Liszt’s virtuoso side to the mysticism of his deeply spiritual side – are 15 renowned pianists on recordings dating from 1994–2016. Liszt’s piano works may be divided into several diverse categories. These include the virtuoso showpieces based on themes from operas (Isoldens Liebestod Alexander Gavrylyuk, Wagner Transcriptions Francois Dumont, Bellini and Donizetti Transcriptions Mark Viner, Verdi and Beethoven Transcriptions Michele Campanella); religious-inspired or devotional works (Benediction de Dieu dans la solitude and 2 Legendes Irene Russo) the spare, enigmatic pieces from his last years (Trube Wolken, En reve, Bagatelle sans tonalite Philipp Kopachevsky and La lugubre gondola Misha Dacic); a ground-breaking sonata regarded as an iconic work of the repertoire (Sonata in B minor Philipp Kopachevsky); and numerous piano transcriptions of other composers’ non-operatic works (Grandes etudes de Paganini Goran Filipec, Beethoven Symphony No.6 in F Op.68 ‘Pastorale’ Michele Campanella). The set concludes with a grand gesture, as Nelson Freire is joined by the Dresdner Philharmonie under Michel Plasson for Liszt’s two well-loved piano concertos."
BRI         ,BRILLIANT,BRI95569,5.02842E+12,"Fantasia, La; L'Esperance, Anne; Mallon, Kevin; Aradia Ensemble; Archibald, Jane; Voskuilen, Rien; Newman, Marion; Cambre, Estaban; Boer, Michele de; McLennan, James; Nortman, David; Lambour, Christian","Balbastre, Claude-Benigne; Bible; Boely, Alexandre Pierre Francois; Charpentier, Marc-Antoine; Chauvet, Alexis; Corrette, Michel; Dandrieu, Jean-François; Dandrieu, Pierre; Dubois, Théodore; Franck, César; Guilmant, Alexandre; Mass Text",Joyeux Noël (French Christmas Music),COMPACT DISC,3,13.25,20.99,2017,"In the popular imagination, French Christmas music may now be almost wholly defined by Minuit, chretiens and favourites such as Petit Papa Noël covered by Charles Aznavour and Johnny Hallyday, but the festive season was marked in the Baroque era with great merriment, principally through the genre of Noëls: sacred collections of secular songs, celebrating often vernacular aspects of the Nativity such as the Shepherds, especially by giving the occasion to compose in the always popular pastoral vein, in simple keys such as F major and in the lilting siciliano rhythm. Many such Noëls may be enjoyed on this special collection of both choral and instrumental music, concentrating on the High Baroque era. Corrette, Dandrieu and Balbastre all wrote exuberant Noels for organ; Michel Corrette developed the idea further with narrative-led instrumental symphonies, which are collected complete on this release and performed by a historically informed ensemble. The collection begins with the Toronto-based Aradia Ensemble. They built their 1999 recording of Marc-Antoine Charpentier around his best-known work, the Messe de Minuit (Midnight Mass). The director Kevin Mallon gave it a specially Canadian flavour by interpolating a version of the French carol with a text in the tribal language of the Huron Indians. ‘Colourful performances,’ was the original verdict of Gramophone, on which ‘the soloists and chorus sing with consistent clarity.’ Operatically inclined singers will note the presence in the ensemble of Jane Archibald, who has since become known worldwide as a coloratura soprano of distinction, especially in the role of Zerbinetta in Strauss’s Ariadne auf Naxos. The final disc of Joyeux Noël is an organ recital, moving through the ages from Dandrieu to the grandest examples of late-Romantic organ masses and Christmas pieces by Franck and Dubois. It’s a uniquely compilation, fully annotated, sure to bring a touch of distinction to a festive stocking."
CME CONS    ,C MAJOR ENTERTAINMENT,742008,8.14337E+11,DOMINGO  MELI  PIROZZI  CONCETTI  MILLETTI  ISOTTON  RZ-ZADE  SEDLEVICIUS  CORO & ORCHESTRA DE TEATRO ALLA SCALA  MARIOT,"Piave, Francesco Maria; Verdi, Giuseppe",Verdi: I due Foscari,DVD VIDEO,1,19.49,29.99,2017,"In his ‘new life’ as a baritone, Placido Domingo has triumphed in the role of Francesco Foscari in Los Angeles, London and Vienna. Now he takes to the role to La Scala, Milan, the theatre that is the symbol of Italian opera. I due Foscari, premiered in 1844, famously one of Verdi’s darkest operas, is staged by Alvis Hermanis, who made such an impact at the Salzburg Festival with ""Die Soldaten"" and ""Il trovatore"". Domingo is joined by two of Italy’s most exciting singers, the soprano Anna Pirozzi and the tenor Francesco Meli, and the acclaimed Italian conductor Michele Mariotti. The Financial Times was deeply moved by Domingo’s performance, calling his interpretation of the role “sublime”. BONUS Ioan Holender interviews Placido Domingo on the occasion of I Due Foscari at La Scala in Milan."
CME CONS    ,C MAJOR ENTERTAINMENT,742104,8.14337E+11,DOMINGO  MELI  PIROZZI  CONCETTI  MILLETTI  ISOTTON  RZ-ZADE  SEDLEVICIUS  CORO & ORCHESTRA DE TEATRO ALLA SCALA  MARIOT,"Piave, Francesco Maria; Verdi, Giuseppe",Verdi: I due Foscari,BLU-RAY DVD,1,27.29,41.99,2017,"In his ‘new life’ as a baritone, Placido Domingo has triumphed in the role of Francesco Foscari in Los Angeles, London and Vienna. Now he takes to the role to La Scala, Milan, the theatre that is the symbol of Italian opera. I due Foscari, premiered in 1844, famously one of Verdi’s darkest operas, is staged by Alvis Hermanis, who made such an impact at the Salzburg Festival with ""Die Soldaten"" and ""Il trovatore"". Domingo is joined by two of Italy’s most exciting singers, the soprano Anna Pirozzi and the tenor Francesco Meli, and the acclaimed Italian conductor Michele Mariotti. The Financial Times was deeply moved by Domingo’s performance, calling his interpretation of the role “sublime”. BONUS Ioan Holender interviews Placido Domingo on the occasion of I Due Foscari at La Scala in Milan."
CME CONS    ,C MAJOR ENTERTAINMENT,742608,8.14337E+11,LUGU  BERRUGI  BWESONG  CAVALLETTI  CHO  SAGONA  PEIRONE  GANDY  ORCHESTRA & CHORUS TEATRO REGIO TORINO  NOSEDA,"Giacosa, Giuseppe; Illica, Luigi; Puccini, Giacomo",Puccini: La bohème,DVD VIDEO,1,19.49,29.99,2017,"120 years after its very first performance, which took place at Teatro Regio di Torino, La Boheme returns to the tradition-steeped Italian opera house. With director Alex Olle from La Fura dels Baus and music director Gianandrea Noseda the Teatro Regio presents a spectacular, up-to-date anniversary production. For Alex Olle, directing the opera for the first time, “La Boheme allows the young generation to get rid of everything that prevents them from flying, feeding only on their own vitality; the real hunger of the protagonists is the hunger for life. My production is set in a modern city outskirt. It is there where, in my opinion, the intellectual matrix of the future happens; in ugly, disreputable and poor places which are authentic. In this kind of environment, where life and art – as they did in Romanticism – belong to the survivors.” “A triumphant youthful Boheme”, in which the singers excel due to their naturalness. Giorgio Berrugi sings his Rodolfo “with a luminous timbre, in refined nuances” (La Stampa), perfectly matching “Irina Lungu’s full-bodied Mimi” (The London Times). All in all, “this is theatre, this is life, this is passion” (Corriere della sera)."
CME CONS    ,C MAJOR ENTERTAINMENT,742704,8.14337E+11,LUGU  BERRUGI  BWESONG  CAVALLETTI  CHO  SAGONA  PEIRONE  GANDY  ORCHESTRA & CHORUS TEATRO REGIO TORINO  NOSEDA,"Giacosa, Giuseppe; Illica, Luigi; Puccini, Giacomo",Puccini: La bohème,BLU-RAY DVD,1,27.29,41.99,2017,"120 years after its very first performance, which took place at Teatro Regio di Torino, La Boheme returns to the tradition-steeped Italian opera house. With director Alex Olle from La Fura dels Baus and music director Gianandrea Noseda the Teatro Regio presents a spectacular, up-to-date anniversary production. For Alex Olle, directing the opera for the first time, “La Boheme allows the young generation to get rid of everything that prevents them from flying, feeding only on their own vitality; the real hunger of the protagonists is the hunger for life. My production is set in a modern city outskirt. It is there where, in my opinion, the intellectual matrix of the future happens; in ugly, disreputable and poor places which are authentic. In this kind of environment, where life and art – as they did in Romanticism – belong to the survivors.” “A triumphant youthful Boheme”, in which the singers excel due to their naturalness. Giorgio Berrugi sings his Rodolfo “with a luminous timbre, in refined nuances” (La Stampa), perfectly matching “Irina Lungu’s full-bodied Mimi” (The London Times). All in all, “this is theatre, this is life, this is passion” (Corriere della sera)."
CAN         ,CANTALOUPE,CA21134,7.13746E+11,"Black, Robert","Black, Robert",Possessed,COMPACT DISC + DVD,2,15.59,23.99,2017,"Recorded and filmed among the arches, cliffs and otherworldly rock formations of the Moab Desert in Utah, Possessed documents one musician's self-actualized journey toward musical discovery and enlightenment. Equipped with only his upright bass and an intrepid production crew, Robert Black ventured into Moab in the summer of 2013 with the specific goal of engaging the environment itself in a duet, improvising his way toward a finished recording that perfectly captures the haunting majesty, mood and power of the American desert. As the longtime bassist for New York's genre-busting Bang on a Can All-Stars, Black is thoroughly tapped into the creative current of today's new music. He's also uniquely attuned to the areas where acoustic music and the sounds of nature can intersect, creating a third and totally unexpected entity that surges with unusually ecstatic energy. ""Listen closely and feel the music,"" he encourages in the album's liner notes. ""The sound, the look, the feel -- it affects me. It gets inside my head, inside my body. My hands move, the bass sings, the landscape responds and directs the movements, controls the sound. The music comes...from I don’t know where. I close my eyes. I lose myself. I give in. I surrender. I am transported. I am...possessed."""
CAP         ,CAPRICCIO RECORDINGS,C5138,8.45221E+11,"Kushpler, Zoryana; Linos Ensemble","Busoni, Ferruccio; Maeterlinck, Maurice; Schoenberg, Arnold; Stein, Erwin; Tarkmann, Andreas; Webern, Anton; Zemlinsky, Alexander",Schoenberg: Chamber Symphony No. 1 - Zemlinsky: 6 Gesänge - Busoni: Berceuse élégiaque,COMPACT DISC,1,13.25,20.99,2017,"Founded in November 1918 by Arnold Schoenberg (1874–1951) and a few of his confidants, the Association for Private Musical Performances constituted perhaps the most progressive and most intensive opportunity for a select Viennese musical circle to familiarize themselves with contemporary and the latest works of the international composers’ scene in the immediate aftermath of the First World War and hence at the time of a dearth of a cultural spirit of optimism and innovation. Schoenberg had a close personal tie with many of the composers performed at the association concerts and sometimes even an amical one, as in the case of Zemlinsky. The association became a nursery for the entire modern music from Richard Strauss and Debussy to Webern, as far as the instrumentation of the works allowed."
CAP         ,CAPRICCIO RECORDINGS,C5316,8.45221E+11,"Schneider, Simone; Radio-Symphonieorchester Wien; Meister, Cornelius; Ströbl, Laurenz; Baumgartner, Tanja Ariane; Delegado, Camilo Diaz; Kim, Juyoung; Kerl, Torsten; Stadler, Oskar; Eröd, Adrian; Wiener Singakademie","Mahler, Gustav",Mahler: Das klagende Lied,COMPACT DISC,1,13.25,20.99,2017,"The cantata Das klagende Lied even today constitutes a veritable rarity in concert programmes – in an age that without contradiction recognizes Mahler as one of the most eminent milestones in the music history, seeing him permanently embedded in the repertoire. The salient significance of this large-scale, vocal symphonic work is to be seen in the fact that de facto it forms the beginning of Mahler’s familiar oeuvre, explaining and illustrating to the scholar and the exclusively listening music lover alike so many things that make up Mahler. In the context of Das klagende Lied especially, it might justifiably be asserted that Mahler contains everything that was prior to him, but he also anticipates everything that came after him."
CDC         ,CARL DAVIS COLLECTION,CDC029,8.45458E+11,"Davis, Carl; Malaysian Philharmonic Orchestra","Davis, Carl",Carl Davis: Aladdin,COMPACT DISC,2,19.49,29.99,2017,"Aladdin was commissioned by Scottish Ballet, who gave the premiere at The Edinburgh Festival Theatre on 20th December 2000. Sometime in the mid-1990s came the dream phone call- Robert Cohan, American choreographer and founder of the London Contemporary Dance Company asking if Carl Davis would be interested in composing a score for a full length ballet on the subject of Aladdin, for what is the traditional Nutcracker slot, Autumn and Winter. The commission was from Scottish Ballet, then traditionally managed by the distinguished Russian ballerina, Galina Samsova. Born in New York in 1936, Carl Davis moved to London in 1960 and found himself at the heart of England’s theatre, television and film world. Davis is also a composer of symphonic works, a writer for ballet and a notable Conductor. Following on from Thames Television’s Hollywood series, he created a score for Abel Gance’s epic 1927 film Napoleon, a performance so unique it stimulated a global revival of silent film performances with live orchestra. Davis has written scores for over fifty silent films ranging from Charlie Chaplin, Harold Lloyd, Buster Keaton to DW Griffiths and King Vidor. In 2009 Carl created his own record label, the Carl Davis Collection, which features 27 discs on international and digital release."
CAD         ,CARPE DIEM,CD-16313,4.03232E+12,"Cagwin, Jarrod; Godard, Michel; Mirkovic, Nataša","Cagwin, Jarrod; Godard, Michel; Jagoda, Flori; Mirkovic, Nataša; Traditional",En El Amor,COMPACT DISC,1,14.81,22.99,2017,"En El Amor is a fascinating new project that brings together two well-known jazz musicians, Michel Godard (serpent) and Jarrod Cagwin (percussion) with the Bosnian singer Natasa Mirkovic, a truly versatile vocalist who became known internationally with her theme song for Angelina Jolie’s “In the land of blood and honey,” as well as for her recording of Schubert’s “Winterreise.” On this album, the singer performs songs from her childhood in Bosnia: Ancient Sephardic traditionals, that are still being sung by the people of the Balkan area today. She clearly draws inspiration from her ancestral roots, while at the same time the three musicians arrange these old songs in a new and experimental context, creating a magical soundscape that transcends time, culture and tradition. Recorded in the breathtaking acoustics of the former synagogue of St. Polten in Austria, this album becomes a total work of art fusing ancient and new, religious and secular, traditional and modern artistic expression."
CAR         ,CARUS-VERLAG,CV83283,4.00935E+12,HIERDEIS  MORLOC  KAMMERCHOR STUTTGART  DANUBIA ORCHESTRA OBUDA  BERNIUS,LIGETI  RAVEL  DEBUSSY,REQUIEM,COMPACT DISC,1,14.81,22.99,2017,"""For me Gyorgy Ligeti is the most important composer of the second half of the 20th century"" said the conductor Frieder Bernius about the composer who died in 2006. The underlying composition of this album is a recording of the Requiem with the Kammerchor Stuttgart, recorded in early 2006, which Ligeti himself praised as being ""an outstanding interpretation."" The Requiem is being issued for the first time together with Ligeti's Lux aeterna which, so to speak, represents, with regard to its content, a ""completion,"" as Ligeti had not set this in his Requiem, even though it is the final sentence of said liturgical text. These two works are supplemented by transcriptions by Clytus Gottwald, the dedicatee of the Lux aeterna, in which he professedly orientates himself according to Ligeti's ""microtonality."""
CAR         ,CARUS-VERLAG,CV83481,4.00935E+12,"Orpheus Vokalensemble; Alber, Michael; Bieler, Ida","Ambrosius Aurelianus; Anonymous; Bible; Broadbridge, Edward; Buchenberg, Wolfram; Gjeilo, Ola; Høybye, John; Huebner, Gregor; Miškinis, Vytautas; Nystedt, Knut",Touched by the Strings,COMPACT DISC,1,14.81,22.99,2017,"The present album explores the question of how two ostensibly opposite protagonists, such as a solo violin and a mixed choir, can form a closed artistic form. European composers with various stylistic roots were confronted with this question. The result is an exciting conceptual album filled with compositional surprises and new sonic ideas which demonstrate how varied the respective composers’ approach to the task was and how they found coherent and creative solutions. The composers reveal differing conceptual approaches when answering these questions. Nystedt and Hubner decided to write a kind of concerto for violin and choir in which the violin as soloist outdoes the choir- in its role as orchestra- with its virtuosity, simultaneously commenting on the test or affirming it with doublings. Hoybye stages a theater piece, assigning clear roles to the solo violin and the choir; the violin, representing the voice of God, enters into a dialogue with the choir which represents the voice of man. They speak to one another, they comment on each other, wrestle with each other, spur each other on and thus develop a musical momentum. Buchenberg works with a cross-fading technique and sound surfaces, Miskinis alternates between the violin taking on the function of a descant and a blending of violin and choir, whereas Gjeilo integrates the violin in the choir’s sound weave, turning it into an additional soprano voice, as it were."
