Label,Label Description,Item Number,Primary Barcode,Artist,Composer,Composer / Title,Format,# Discs,CA List Price,CA Suggested Retail Price,Release Date,Blurb
BRI         ,BRILLIANT,BRI95493,5.02842E+12,Lubotsky Trio,"Boccherini, Luigi","Boccherini: String Trios, Op. 6",COMPACT DISC,1,$6.23 ,$9.99 ,2017-Jul-21,"Luigi Boccherini was one of the most famous cellists of his day, travelling Europe as a touring virtuoso. On his return to his native Lucca he founded the first professional string quartet in history. Boccherini's output for string ensembles is vast: he wrote more than 120 string quartets, 100 string quintets and 48 string trios. The string trios, Op. 6 are for 2 violins and cello, highly expressive music full of rich classical melodies, elegance and instrumental brilliance. Excellent performances by the Lubotsky Trio, with the eminent Russian violinist Mark Lubotsky, a pupil of David Oistrakh, as primarius."
CME CONS    ,C MAJOR ENTERTAINMENT,741408,8.14337E+11,NDR ELBPHILHARMONIE ORCHESTER  HENGELBROCK,"Anonymous; Archilei, Antonio; Bardi, Giovanni de'; Beethoven, Ludwig van; Britten, Benjamin; Caccini, Giulio; Cavalieri, Emilio de'; Dutilleux, Henri; Guarini, Alessandro; Jahnn, Hans Henny; Liebermann, Rolf; Messiaen, Olivier; Not Applicable, na; Praetorius, Jacob; Rihm, Wolfgang; Schiller, Friedrich von; Wagner, Richard; Zimmermann, Bernd Alois",Elbphilharmonie Hamburg Grand Opening Concert,DVD VIDEO,2,$23.39 ,$35.99 ,2017-Jul-28,"The Elbphilharmonie, the ''hall of wonders'' (The Guardian), is undoubtedly the new landmark of Hamburg, a monumental synthesis of breath-taking architecture, a unique location and a world-class concert hall. In varying instrumentation of the NDR Elbphilharmonie Orchestra under the baton of Principal Conductor Thomas Hengelbrock and several top-class soloists explores in the opening concert the possibilities of the Elbphilharmonie's Grand Hall and its acoustics with an exciting programme, created especially for this occasion by the most important living German composer, Wolfgang Rihm. ''A striking building, a scintillating concert!'' (The New York Times)."
CME CONS    ,C MAJOR ENTERTAINMENT,741504,8.14337E+11,NDR ELBPHILHARMONIE ORCHESTER  HENGELBROCK,"Anonymous; Archilei, Antonio; Bardi, Giovanni de'; Beethoven, Ludwig van; Britten, Benjamin; Caccini, Giulio; Cavalieri, Emilio de'; Dutilleux, Henri; Guarini, Alessandro; Jahnn, Hans Henny; Liebermann, Rolf; Messiaen, Olivier; Not Applicable, na; Praetorius, Jacob; Rihm, Wolfgang; Schiller, Friedrich von; Wagner, Richard; Zimmermann, Bernd Alois",Elbphilharmonie Hamburg Grand Opening Concert,BLU-RAY DVD,1,$27.29 ,$41.99 ,2017-Jul-28,"The Elbphilharmonie, the ''hall of wonders'' (The Guardian), is undoubtedly the new landmark of Hamburg, a monumental synthesis of breath-taking architecture, a unique location and a world-class concert hall. In varying instrumentation of the NDR Elbphilharmonie Orchestra under the baton of Principal Conductor Thomas Hengelbrock and several top-class soloists explores in the opening concert the possibilities of the Elbphilharmonie's Grand Hall and its acoustics with an exciting programme, created especially for this occasion by the most important living German composer, Wolfgang Rihm. ''A striking building, a scintillating concert!'' (The New York Times)."
CME CONS    ,C MAJOR ENTERTAINMENT,741608,8.14337E+11,KIT ARMSTRONG,"Bach, Johann Sebastian; Bull, John; Byrd, William; Sweelinck, Jan Pieterszoon",Kit Armstrong Performs Bach's Goldberg Variations and Its Predecessors,DVD VIDEO,1,$19.49 ,$29.99 ,2017-Jul-28,"When Kit Armstrong was only 14 , he overcame his mentor Alfred Brendel's reluctance to take on pupils. Brendel said ''He played so beautifully that I thought to myself, 'I have to make tiem for him.' It was a performance that really led you from the first to the last note.'' Soon Armstrong was winning international prizes both as pianists and as composer and was appearing as soloist at some of the world's foremost venues. At the Concertgebouw, Armstrong mesmerized his audience with Bach's monumental Goldberg Variations - preceded by earlier polyphonic variation masterpieces by William Byrd, Jan Pieterszoon Sweelinck and John Bull. ''Enlightening and exhilarating'' (Revierpassagen). ''Armstrong's phenomenal recital was so exceptional that every attempt to describe it falls short'' (NRC)."
CME CONS    ,C MAJOR ENTERTAINMENT,741704,8.14337E+11,KIT ARMSTRONG,"Bach, Johann Sebastian; Bull, John; Byrd, William; Sweelinck, Jan Pieterszoon",Kit Armstrong Performs Bach's Goldberg Variations and Its Predecessors,BLU-RAY DVD,1,$27.29 ,$41.99 ,2017-Jul-28,"When Kit Armstrong was only 14 , he overcame his mentor Alfred Brendel's reluctance to take on pupils. Brendel said ''He played so beautifully that I thought to myself, 'I have to make tiem for him.' It was a performance that really led you from the first to the last note.'' Soon Armstrong was winning international prizes both as pianists and as composer and was appearing as soloist at some of the world's foremost venues. At the Concertgebouw, Armstrong mesmerized his audience with Bach's monumental Goldberg Variations - preceded by earlier polyphonic variation masterpieces by William Byrd, Jan Pieterszoon Sweelinck and John Bull. ''Enlightening and exhilarating'' (Revierpassagen). ''Armstrong's phenomenal recital was so exceptional that every attempt to describe it falls short'' (NRC)."
CAL         ,CALLIOPE,CAL1740,3.76004E+12,"Bernhardt, Vincent; Delirio Fantastico, il","Vivaldi, Antonio",Vivaldi: Concerti di Parigi,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-07,"When Charles de Brosses, a judge and writer from Dijon, goes to Italy in 1739-1740, he hopes to find History of the Roman Republic, a legendary text written by Salluste, in the first century B.C. but lost since antiquity. His collection will not bear fruit, but in the letters he writes to his friends during his voyage, he gives us the most livign portrait of the Italy of his time. Curious about everything, he doesn't omit going to Venice and seeing for himself how the ''nation is crazy'' about music: There are hardly no evenings without an academy somewhere; people rush...to listen with as much enthusiasm as if it were the first time. Here, there is a kind of music that does nto exist in France...Long concertos without solo violin. Vivaldi became a very close friend, to sell me really expensive concertos. He sort of succeeded, but I also got what I wanted: to listen to him and live such special musical moments. Founded by harpsichordist Vincent Bernhardt, the ensemble Il delirio fantastico is a group of young musicians specialized in Baroque music and in teh playing of historical instruments. It consists mainly of former students of the famous European universities and conservatories. Il delirio fantastico explores actively unheard music from the Italian and German baroque repertoire, while approaching as well the classics and particularly the music of Antonio Vivaldi."
CAL         ,CALLIOPE,CAL1742,3.76004E+12,"Bourgoin, Gabriel; Orchestre de chambre Les Illuminations; Falkovitch, Sofia","Algazi, Leon; Anonymous; Bible; Bizet, Georges; Bourgoin, Gabriel; Bussine, Romain; David, Samuel; Falkovitch, Sofia; Fauré, Gabriel; Haïk-Vantoura, Suzanne; Kalendareva, Lidia; Mey, Lev Alexandrovich; Opréa, Alin; Ravel, Maurice; Rimsky-Korsakov, Nikolai; Senesh, Hannah; Traditional; Zehavi, David",Chants hébraïques et chants d'amour,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-07,"For the first time in France, Jewish sacred music is sung by a female cantor accompanied by a chamber orchestra. The primary aim of the artist Sofia Falkovitch is to pass on and share her love for these musical treasures inherited from previous generations."
CMR         ,CAMBRIA MASTER RECORDINGS,CD-1242,21475012428,"Mills, Margaret","Beach, Amy; Crawford (Seeger), Ruth; Ives, Charles",A Celebration of Early American Composers,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-07,"A Celebration of Early American Composers features American pianist Margaret Mills who has chosen piano works by Amy Beach, Ruth Crawford, and Charles Ives in a program that compares their individual vision of musical Modernism during the first half of the 20th Century. The disc includes Beach's Five Improvisations for Piano, Op. 148, and four short pieces -- By the Still Waters, Op. 114; Out of the Depths, Op. 130; which are contrasted with two earlier works from Op. 54 - Scottish Legend and Gavotte Fantastique. Ruth Crawford is represented by her Nine Preludes for Piano. The release also features two movements from Charles Ives' Piano Sonata No. 2 Concord, Mass. - ""The Alcotts"" and ""Thoreau."" Margaret Mills enjoys an international reputation as a concert pianist, having performed throughout the United States, Europe and China. In addition to her frequent appearances at universities and festivals around the world, Ms. Mills has given solo recitals in Wigmore Hall, London, Brahms-Saal, Vienna, Merkin Concert Hall, Alice Tully Hall and Weill Recital Hall at Carnegie hall in New York City. Her repertoire, spanning the eighteenth to the twenty-first centuries, includes traditional European music alongside newer American works, many of them by women composers, and several world premieres. “Her touch, pure silver and soft velvet one moment, can change in a heartbeat to fire and brimstone the next, always finding just the right tone of voice and way of phrasing and sustaining a line that turns a measure magical.” (Jerry Dubins, Fanfare)"
CAN         ,CANTALOUPE,CA21133,7.13746E+11,"Bang on a Can All-Stars; Linna, Gong","Anonymous; Gordon, Michael; Lang, David; Luo, Lao; Wolfe, Julia",Cloud River Mountain,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-21,"Co-composed by Lao Luo and Bong On A Can founders Michael Gordon, David Lang, and Julia Wolfe, Cloud River Mountain is an edgy cross-cultural collaboration between the Bang On A Can All-Stars and the extraordinary Chinese vocalist Gong Linna, whose dynamic voice covers a vast canvas of sonic colors. With an adventurous range that embraces Chinese folk, pop, and avant-garde art music (and has drawn comparisons to Bjork), Linna sings in both Mandarin and English over groove-driven melodies, punk-ish backbeats and lush soundscapes. Cloud River Mountain stirs ancient Chinese storytelling together with Western songwriting into a raucous musical mix, combining the mystical stories fo the past with the churning, clanging and sounds of the future."
CPL         ,CAPPELLA ROMANA,CR409-CD,8.84502E+11,"Cappella Romana; Lingas, Alexander; Boyer, J.M.; Antonopoulos, S.","Adamis, Michael; Anonymous; Bogdanos, Theodore; Cardiasmenos, Steven; Desby, Frank; Gazes, Manuel; Gregoriou, Angelos; Leontaritis, Franghiskos; Mass Text; Michaelides, Peter; Plousiadenos, Joannes; Sgoutas, Parthenios; Stellon, Andreas; Zes, Tikey",From Constantinople to California,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-21,"Cappella Romana, a vocal chamber ensemble renowned for its ''robust and intriguing music'' (Washington Post), releases its latest recording ''Live in Greece.'' Its previous release ''Music of Byzantium'' sold over 14,000 copies. A 1000-year journey from Constantinople to California, ancient Byzantine chants are followed by musical encounters with Crusaders and Venetians, including Greek and Latin polyphony from Renaissance Crete. East meets West again at St. Sophia Cathedral in Los Angeles, where Frank Desby founded a tradition, continued by his Californian peers of Greek-American choral music."
CPL         ,CAPPELLA ROMANA,CR412-CD,8.88295E+11,"Cappella Romana; Moody, Ivan","Anonymous; Attinen, Pekka; Bashmakov, Leonid; Bible; Jakubov, Boris; Mirolybov, Peter; Moody, Ivan; Ruottinen, Timo; Sidoroff, Mikko",Arctic Light –  Finnish Orthodox Music,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-21,"While Orthodoxy was the earliest form of Christianity to reach Finland, its music was initially drawn from the rich Slavic tradition, subsequently adapted into the Finnish language. This recording by Cappella Romana features original works composed in Finnish in the 20th century that draw upon the Finnish choral tradition, marrying a shining Northern clarity of sound with a sonic richness linked to the traditions of Russian choral singing. Extensive scholarly essay by guest director Ivan Moody and full texts are included in both English and Finnish."
CPL         ,CAPPELLA ROMANA,CR413-CD,8.88295E+11,"Cappella Romana; Lingas, Alexander","Anonymous; Arvanitis, Ioannis; Bible; Byzantios, ; Kosmas, ; Leo the Wise VI, ; Romanos,; Theophanes Protothronos, ",Good Friday in Jerusalem,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-21,"Produced since 2004 by GRAMMY™ Award-winning producer Steve Barnett, Cappella Romana performs ''music of purity and radiance'' (Gramophone) in concerts of ''luminous beauty'' (Washington Post). Appearances in New York, Chicago, L.A., London, Athens, Utrecht, and many others. With Good Friday In Jerusalem, Cappella Romana's intrepid male ensemble features Byzantine cantors from Greece, the UK, and the US, with Stelios Kontakiotis from Tinos, Greece, as principal soloist. Together they perform these chants with captivating modal inflections that underscore the deep pathos and personal drama of Good Friday. These profound selections for 8th and 9th century ceremonies invoke an elaborateliturgy in Jerusalem's most sacred Christian sites. Recorded in the splendid Stanford Memorial Church and sung in Byzantine Greek."
CAR         ,CARUS-VERLAG,CV83016,4.00935E+12,DRESDNER KAMMERCHOR  RADERMANN,"SCHUTZ, HEINRICH",PSALMEN,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-07,"The Wiegenlieder-Projekt (Lullaby Project) bu Carus Verlag in 2009 succeeded in drawing broad public interest for singing together in the family and in rejuvenating many of the songs that have been handed down. This marked the start of the Liederprojekt, which was pursued successfully in the following years. A unique, high-quality archive of German-language songs was developed that has been expanded since then to include international repertoire. Following the various themes such as lullabies, children's songs, folk songs, Christmas songs and love songs, the Liederprojekt now devotes itself to some of the oldest song forms alive today: the psalms. One composer, whose oeuvre finds an exceptional variety of equally impressive and moving psalm settings, is placed here front and center: Heinrich Schutz. The ''father of German music'' created a ''psalms project'' of a breadth and depth unlike any other composer through the musical arrangement of the Becker Psalter and of many other works. He is thus representative of all composers who have devoted themselves to the psaltery over the centuries, with the aim of continually reaching people - whether as singers or as silent listeners - through the settings of these oldest songs."
CAR         ,CARUS-VERLAG,CV83287,4.00935E+12,"Kammerchor Stuttgart; Bernius, Frieder","Chezy, Helmine von; Eichendorff, Joseph von; Goethe, Johann Wolfgang von; Hebel, Johann Peter; Heine, Heinrich; Hoffmann von Fallersleben, August Heinrich; Hölty, Ludwig Heinrich Christoph; Lenau, Nikolaus; Mendelssohn, Felix; Platen-Hallermunde, August von; Schutz, Christian Wilhelm von; Uhland, Johann Ludwig; Weismann, Heinrich",Mendelssohn: Lieder im Freien zu singen,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-07,"Felix Mendelssohn Bartholdy and Frieder Bernius - these names are often mentioned in one and the same breath. Bernius's complete recording of Mendlssohn's sacred choral music with the Kammerchor Stuttgart, which has won many prizes, is a major feat of both interpretation and editing, and has extensively contributed to Mendelssohn's complete oeuvre becoming part of the concert repertoire, a fact which today is taken for granted. On the occasion of his 70th birthday in June, 2017, Frieder Bernius has now produced a recording of the high quality associated with him of Mendelssohn's most well-known secular choral songs under the title of ''Liedern im Freien zu singen''."
CAR         ,CARUS-VERLAG,CV83311,4.00935E+12,"Gaechinger Cantorey; Berndt, Tobias; Rademann, Hans-Christoph; Mields, Dorothee; Schachtner, Benno; Kristjánsson, Benedikt","Anonymous; Bach, Johann Sebastian; Bible; Helmbold, Ludwig; Luther, Martin; Mass Text; Rinkart, Martin; Walter, Johann","Bach: Cantatas, BWV 126 & 79 and Mass in G Major, BWV 236",COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-07,"Even today, Protestant church music has been strongly characterized by Johann Sebastian Bach. The ''musical preacher'' allows the listener to understand both emotionally and rationally the theological message entirely in the spirit of Martin Luther. Therefore, it is fitting that in 2017 the newly released recording of the Gaechinger Cantorey under the direction of Hans-Christoph Radermann reflects the Reformation in full: The cantata Gott, der Herr, ist Sonn und Schild was written for Reformation Day in 1725; the ''Lutheran'' Mass BWV 236 musically draws to individual parts of the cantata; and the chorale cantata erhalt uns, Herr, bei deinem Wort is based on a hymn written by the Reformer. At the same time, the album also characterizes the new direction of the Gaechinger Cantorey."
CAR         ,CARUS-VERLAG,CV83484,4.00935E+12,"Fischer, Bobbi; Jones, Cara; Comes, Barbara; Krill, Torsten; Gilde, Franziska de; Ulmer Spatzen Chor; Rössle, Ekkehard; Gilde, Hans de; Weigel, Lena; Mehlich, Johanna; Hubner, Veit","Anonymous; Arlen, Harold; Barratier, Christophe; Bible; Brahms, Johannes; Brecht, Klaus; Butz, Rainer; Chilcott, Bob; Coleman, Cy; Coulais, Bruno; Dernick, Rupert; Eichhorn, Angelika; Emerson, Roger; Fender, Catherine; Fields, Dorothy; Friderici, Daniel; Gallagher, Stephen; Grieg, Edvard; Gumbel, Hermann; Harburg, Edgar Yip; Hebb, Bobby; Heine, Heinrich; Humperdinck, Engelbert; Jung, Fredo; McKay, Al; Mendelssohn, Felix; Ogura, Ro; Pergolesi, Giovanni Battista; Pope Innocent III; Purcell, Henry; Rutter, Joh",The Rhythm of Life,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-21,"With The Rhythm of Life, the Ulmer Spatzen Choir under the direction of Hans de Gilde offer an insight into their extensive repertoire. On the one hand, numerous works belonging to the classic choral repertoire, originating from composers such as Purcell, Pergolesi, Mendelssohn, Brahms und Humperdinck, are to be heard. On the other hand however, the young singers between the ages of 12 and 19 demonstrate their ability also in various pop and jazz standards as well as in film music. Moving interpretations of simple folk songs carry us off into other countries and times. The individual pieces are accompanied by either a band, a piano, or an organ. A colorful kaleidoscope of choral music!"
CDA         ,CD ACCORD,ACD230,5.90218E+12,"Kepinski, Piotr; Rajs, Katarzyna","Albéniz, Isaac; Bach, Johann Sebastian; Clérambault, Louis-Nicolas; Kreisler, Fritz; Maciejewski, Roman; Mozart, Wolfgang Amadeus; Paderewski, Ignacy Jan; Ravel, Maurice","Maciejewski: Transcriptions for 2 Pianos, Vol. 1",COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-21,"Piano transcriptions of great music works created by Toman Maciejewski, like his many other compositions, they were ''taken out of the drawer'' by his brother Wojciech only in the late 1980's. It is a varied collection including four-handed or two-piano compositions. These stylistically and formally diversified works are masterpieces of the musical repertoire of all ages. The dates and exact circumstances of preparing the transcriptions remain unclear. It is known that Maciejewski produced most of them in Sweden at the beginning of the 1940's. They wer emeant for performance during a series of concerts in Gothenburg and Stockholm, where Maciejewski played in a duo with the English pianist Martin Penny or the Russian Alex Portnoff. There is no detailed information concerning the programmes of those concerts; only fragmentary data are available, on the basis of which it can be concluded what they were like. Marlen Wieczork, in her monograph dedicated to the composer, describes the specific circumstances of those wartime concerts, focusing on the performance which was held on May 8th, 1942 in the Stockholm Concert Hall. This musical event, organized under the patronage of Polish-English diplomats, was held for the benefit of the Polish Aid Committee for Poles. Maciejewski and Penny were advertised as well-known and critically acclaimed artists."
CTR         ,CENTAUR,CRC3507,44747350721,STARYK  ORCHESTRE DE RADIO-CANADA  KOTOWSKA  SCHWARTZ,"WIENIAWSKI, HENRY",V10: RESTROSPECTIVE,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-07,"Canadian violin virtuoso Steven Staryk began his musical education at the age of 7 at the Harbord Collegiate Institute. He went on to study with Albert Pratz at The Royal Conservatory of Music in Toronto, and then in New York City. He is considered to be the leading Canadian-born violinist of his generation. In addition to being listen in The Encyclopedia of Music in Canada and The New Grove Dictionary of Music and Musicians, he also has won the Shevchenko Medal, the Queen’s Silver Jubilee Medal, an honorary doctorate of letters from Toronto’s York University, and arts awards from the Canada Council. He has also been a master teacher, and has taught at the Vancouver Academy of Music, the University of Vitoria, the University of Ottawa, the University of Western Ontario, The Royal Conservatory of Music Toronto, and the University of Toronto. On this release, he performs the works of Wienawski. “Staryk is a phenomenon.” (Fanfare Magazine) “He is one of the great virtuoso violinists of our day.” (Records and Recordings London)"
CTR         ,CENTAUR,CRC3537,44747353722,ELISABETH WRIGHT,"BACH, J.S.",BACH IL FRANCESE E L'ITALIEN,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-07,"Harpsichordist Elisabeth Wright has performed as a soloist, chamber musician, and continuo improviser at numerous festivals and concert series around the world. She has been a member of Duo Geminiani with violinist Stanley Ritchie since 1974, and has performed solo recitals and made guest appearances with Tafelmusik, Seattle, Vancouver and Portland Baroque. She frequently collaborates with artists of international renown, including performances with Les Sonatistes and as a guest artist with Ye Olde Friends and Musica Ficta. She has served as artistic director of projects devoted to musical settings of Italian baroque poetry. Her “Marino and Music: a Marriage of Expressive Rhetorical Gesture” was published in The Sense of Marino: Literature, Fine Arts and Music; she has also published reviews for Early Keyboard Journal. Ms. Wright is a founding member of the Seattle Early Music Guild and Bloomington Early Music Associates. She serves as a board member of the Early Music America and a panelist for the National Endowment for the Arts. Here, she tackles an early keyboard staple: the harpsichord works of J. S. Bach."
CTR         ,CENTAUR,CRC3539,44747353920,ELIAS GOLDSTEIN,"PAGANINI, NICCOLO","24 CAPRICES, OP. 1",COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-07,"On this new release, Elias Goldstein performs some of the truly great works for solo violin by Niccolo Paganini, as arranged for viola. Dr. Elias Goldstein holds degrees from DePaul University and the University of Wisconsin-Madison where he was a Collins Fellow. As a soloist with orchestras, he has appeared with the Moscow Soloists under the direction of Yuri Bashmet, New Moscow Philharmonic, New Mexico Chamber Orchestra, Advent Chamber Orchestra, the Ukranian Chamber Orchestra, and the DePaul Symphony Orchestra, where he won the annual concerto competition twice. He also won second prize at the Primrose International Viola Competition in 2011 and recently made his Russian debut with the Moscow Soloists and the New Moscow Philharmonic Orchestra under Alexander Slatkovsky. He took second prize at the Bashmet International Viola Competition, and was also a top prizewinner of the Lionel Tertis International Viola Competition in 2010. He was recently appointed to the faculty of the Louisiana State University School of Music as an Assistant Professor of Viola. Before arriving at LSU, he served on the faculty at Ball State University in Indiana."
CTR         ,CENTAUR,CRC3543,44747354323,RITA D'ARCANGELO,"BACH, J.S.  BACH, C.P.E.",SOLO BACH,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-07,"Rita D’Arcangelo, born in Guardiagrele, Italy, began studying flute at the State Conservatory of Music in Pescara, where she graduated with distinction, studying with Sandro Carbone. She holds degrees from the Royal Northern College of Music in Manchester, the International Academy of Music in Milan, where she studied with Raffaele Trevisani, and the Hochschule fur Musik in Mannheim (Master in Orchestral Studies and Soloist Diploma), where she studied with Jean-Michel Tanguy. She has received numerous awards, including 1st prize at the flute competition of the Rotary Club of Pescara, 2nd prize at the 11th International Flute Competition “A. Ponchielli” in Cremona, and 1st prize at the Alexander and Buono International Flute Competition for 2011 in New York City. She is currently Flute Lecturer at the Department of Music at the State German University BTU- Cottbus. Her previous albums, “Allegro con brio” and “A Virtuoso Journey” have both been critically acclaimed. This new release features solo flute music from Baroque master, J. S. Bach."
CTR         ,CENTAUR,CRC3560,44747356020,"Burggraf-Kledas, Katrina; Rojas, Eduardo; Krehbiel, Donald; Garza, Nicholas; Grogan, David; Shake, Michael; Orpheus Chamber Singers; Henigman, Willa","Anonymous; Biebl, Franz Xaver; Blake, William; Brackett Jr., Joseph; Chatman, Stephen; Clausen, René; Elder, Daniel; Fauré, Gabriel; Ferrau, Chiara; Gjeilo, Ola; Lauridsen, Morten; Morricone, Ennio; Paulus, Stephen; Racine, Jean; Shelley, Percy Bysshe; Siegfried, Kevin; Tennyson, Alfred; Traditional; Whitacre, Eric",My Soul's Repose,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-07,"My Soul’s Repose is a collection of choral works from the twentieth century (except for the Faure) sung beautifully by the Orpheus Chamber Singers. Featured composers include Stephen Paulus, Rene Clausen, Franz Biehl, Eric Whitacre, and more. The Orpheus Chamber Singers is a professional chamber choir of 25 mixed voices in Dallas, Texas. Artistic Director Donald Krehbiel’s reputation for producing stellar performances of a wide variety of choral repertoire is unmatched in North Texas. Orpheus Chamber Singers has offered exceptional choral music experience to audiences for sixteen years, performing repertoire from across the centuries and around the world. As a pillar of the Dallas arts community, Orpheus is committed to the success of Dallas’ expanded Arts District and also brings performances to Plano, Richardson, Allen and beyond."
CTR         ,CENTAUR,CRC3581-3582,44747358123,LARISSA DEDOVA,"RAVEL, MAURICE",COMPLETE SOLO PIANO WORKS,COMPACT DISC,2,$23.39 ,$35.99 ,2017-Jul-07,"Noted for her wonderful integral recording of the complete Debussy works for solo piano, Larissa Dedova now brings us an equally wonderful recording of the complete solo piano works of Maurice Ravel. For over 30 years Larissa Dedova has appeared in solo and chamber recitals in concert halls throughout the world at such venues as Carnegie, New York, Kennedy Center, Washington DC, Great Hall of St. Petersburg Philharmonic, St. Petersburg, Sumida Triphony Hall, Tokyo, Teatro Ghione, Rome, and many more. As a soloist, she has played with famous orchestras, including St. Petersburg Philharmonic, Dresden Philharmonic, Kiev Philharmonic, Orchestre de Chambre de Budapest, Moscow Philharmonic and Estonian State Symphony Orchestra, among many others. The lyricism, romanticism, and virtuosity of Ms. Dedova’s performances have brought her love and affection of audience and critical acclaim. Commenting on Ms. Dedova’s performance of the D-minor Brahms Concerto with Fairfax Symphony, the Washington Post described it as “performance that went straight to the heart of the music.” Larissa Dedova holds both Masters and Doctor of Musical Arts Degrees in Piano Performance from the Moscow State Tchaikovsky Conservatory where she studied with Lev Oborin and Evgeny Malinin."
CHC         ,CHALLENGE CLASSICS,CC 72763,6.08917E+11,MINNAAR  NETHERLANDS SYMPHONY ORCHESTRA  DE VRIEND,"BEETHOVEN, LUDWIG VAN",COMPLETE PIANO CONCERTOS,SACD,3,$27.29 ,$41.99 ,2017-Jul-07,"Here is the box containing Beethoven's five Piano Concertos performed by Hannes Minnaar and The Netherlands Symphony Orchestra under the baton of Jan Willem de Vriend. So far two single volumes had been issued: while teh one including Concertos Nos. 4 & 5 was acclaimed by Gramophone as: ''beginning a Beethoven cycle with the Fourth and Fifth Concertos is a bold move but one that pays off in all sorts of ways'', the same magazine welcomed teh disc with Concertos Nos. 1 & 2 for ''its pleasing mix of finesse and drive''. Despite the very large number of recordings already made of this musical corpus, Minnaar and de Vriend have proved that they have something new and totally their own to say about this collection of masterpieces. And it is indeed the peculiar blend of sheer energy and espirit de finesse that can be identified as the distinctive brand or these recordings."
CHL         ,CHALLENGE RECORDS,CR 73440,6.08917E+11,FLORIS KAPPEYNE TRIO,"KAPPEYNE, FLORIS",INTERCHANGE,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-07,"The Floris Kappeyne Trio was set up in 2015 by the pianist. In the past two years, the trio consisting of separate Prinses Christina Concours winners (2012) has made audiences smile with their witty arrangements of old jazz standards. During the last year, the trio has worked on achieving an authentic conception by combining the classic sound of the McCoy Tyner trio from the sixties with Senegalese sabar rhythms and abstract ideas from modern classical music. The result is presented on this debut album, consisting solely of original compositions."
CHR         ,CHAMPS HILL RECORDS,CHRCD110,5.06021E+12,SKAMPA QUARTET  CHORZELSKI,"DVORAK, ANTONIN",AMREICAN STRING QUARTET & QUIN,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-07,"Following a very successful concert at the Music Room of Champs Hill, the renowned Skampa Quartet returned to Champs Hill to record this album featuring Antonin Dvorak's American String Quartet and Quintet Opp. 96-97, joined by violist Krzysztof Chorzelski for the latter. The quartet talk about their choice of repertoire: ''We were seduced by the charming coincidence of both opus numbers having been destined for string quartet, while the preceding work, Op. 95, happens to be nothing smaller than the monumental Symphony No. 9, the 'New World' Symphony.'' The Skampa Quartet is among the very finest of an outstanding group of current Czech string quartets that has represented their country in major Concert Halls around the world for twenty-five years. The quartet have established a close relationship with BBC Radio 3 resulting in regular broadcasts from Wigmore Hall, St. John's Smith Square, LSO St. Luke's and the Chamber Music proms. They have been an award-winning recording artist for Supraphon for most of the Quartet's career. They are now also among the elite artists whose performances have been selected for release on Wigmore Hall Live label."
CHR         ,CHAMPS HILL RECORDS,CHRCD119,5.06021E+12,RAMBERT ORCHESTRA  PHOENIX PIANO TRIO  GAVRIC  DANIEL  COHEN  HOSKINS,"FRANCES-HOAD, CHERYL",STOLEN RHYTHM,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-07,"RPS Award-winning British composer cheryl Frances-Hoad releases her fourth album with Champs Hill Records, a compilation of chamber orchestral, chamber and solo piano works inspired by composers from the past. Cheryl Frances-Hoad explains the meaning behind the album: ''Throughout my composing life I have found myself continually looking to composers fromt he past in order to create something new. This album...is united by the theme of 'homage': each piece, although I hope clearly recognizable as my own, involved immersing myself in the language of another composer in order to write it.'' Admired for her originality and fluency, Cheryl Frances-Hoad has been composing to commission since she was fifteen. Cheryl's music has receivec critical acclaim, being described as ''like a declaration of faith in the eternal verities of composition'' (The Times) with ''a voice overflowing not only with ideas, but also with the discipline and artistry necessary to harness them'' (The Scotsman)."
